flight_id,airline,source,destination,departure_time,arrival_time,duration,is_overnight,calculated_duration_minutes,time_anomaly,duration_mismatch,duration_minutes,route_anomaly,duration_anomaly,is_valid
SJ010,SPICEJET,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,True,174.0,False,False,174.0,False,False,True
AI155,AIR INDIA,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,True,108.0,False,False,108.0,False,False,True
UK094,VISTARA,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,True,105.0,False,False,105.0,False,False,True
AI245,AIR INDIA,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,True,156.0,False,False,156.0,False,False,True
AI192,AIR INDIA,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,True,299.0,False,False,299.0,False,False,True
SJ158,SPICEJET,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,True,139.0,False,False,139.0,False,False,True
6F196,INDIGO,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,True,103.0,False,False,103.0,False,False,True
AI080,AIR INDIA,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,True,92.0,False,False,92.0,False,False,True
6F025,INDIGO,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,False,55.0,False,False,55.0,False,False,True
6F251,INDIGO,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,False,41.0,False,False,41.0,False,False,True
AI137,AIR INDIA,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,True,148.0,False,False,148.0,False,False,True
6F026,INDIGO,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,True,267.0,False,False,267.0,False,False,True
UK167,VISTARA,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,True,181.0,False,False,181.0,False,False,True
UK027,VISTARA,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,True,141.0,False,False,141.0,False,False,True
AI069,AIR INDIA,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,True,226.0,False,False,226.0,False,False,True
AI058,AIR INDIA,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,True,98.0,False,False,98.0,False,False,True
AI140,AIR INDIA,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,True,223.0,False,False,223.0,False,False,True
