booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,fk_flight_valid
B1000,MASKED,AI192,2025-06-14 11:37:36.951,CANCELLED,MASKED,3D,MASKED,MASKED,True
B1001,MASKED,6F026,2025-11-02 11:37:36.951,CANCELLED,MASKED,18A,MASKED,MASKED,True
B1002,MASKED,SJ010,2025-08-25 11:37:36.951,CANCELLED,MASKED,30C,MASKED,MASKED,True
B1003,MASKED,AI069,2025-12-30 11:37:36.951,CONFIRMED,MASKED,33A,MASKED,MASKED,True
B1004,MASKED,UK003,2025-10-02 11:37:36.951,PENDING,MASKED,25C,MASKED,MASKED,True
B1005,MASKED,AI048,2025-08-31 11:37:36.951,CONFIRMED,MASKED,13D,MASKED,MASKED,True
B1006,MASKED,AI140,2025-06-29 11:37:36.951,CANCELLED,MASKED,17F,MASKED,MASKED,True
B1007,MASKED,UK167,2026-03-12 11:37:36.951,CONFIRMED,MASKED,22E,MASKED,MASKED,True
B1008,MASKED,AI245,2025-09-07 11:37:36.951,PENDING,MASKED,34F,MASKED,MASKED,True
B1009,MASKED,SJ158,2025-04-28 11:37:36.951,CANCELLED,MASKED,33C,MASKED,MASKED,True
B1010,MASKED,AI155,2025-11-24 11:37:36.951,CONFIRMED,MASKED,15B,MASKED,MASKED,True
B1011,MASKED,AI179,2025-10-25 11:37:36.951,CONFIRMED,MASKED,22C,MASKED,MASKED,True
B1012,MASKED,AI137,2025-08-15 11:37:36.951,PENDING,MASKED,28B,MASKED,MASKED,True
B1013,MASKED,SJ001,2025-07-20 11:37:36.951,CONFIRMED,MASKED,26E,MASKED,MASKED,True
B1014,MASKED,SJ172,2025-09-15 11:37:36.951,PENDING,MASKED,21E,MASKED,MASKED,True
B1016,MASKED,UK027,2026-01-13 11:37:36.951,CANCELLED,MASKED,6A,MASKED,MASKED,True
B1017,MASKED,UK067,2026-04-04 11:37:36.951,CONFIRMED,MASKED,13B,MASKED,MASKED,True
B1018,MASKED,6F196,2026-03-25 11:37:36.951,CANCELLED,MASKED,19B,MASKED,MASKED,True
B1019,MASKED,6F164,2025-07-31 11:37:36.951,CANCELLED,MASKED,19A,MASKED,MASKED,True
B1020,MASKED,SJ112,2025-12-06 11:37:36.951,CONFIRMED,MASKED,27B,MASKED,MASKED,True
B1021,MASKED,6F190,2025-12-07 11:37:36.951,CANCELLED,MASKED,4E,MASKED,MASKED,True
B1022,MASKED,AI080,2026-03-25 11:37:36.951,CONFIRMED,MASKED,16F,MASKED,MASKED,True
B1023,MASKED,6F213,2026-02-03 11:37:36.951,PENDING,MASKED,24B,MASKED,MASKED,True
B1024,MASKED,AI115,2025-06-21 11:37:36.951,PENDING,MASKED,30F,MASKED,MASKED,True
B1025,MASKED,SJ049,2026-03-18 11:37:36.951,PENDING,MASKED,1B,MASKED,MASKED,True
B1026,MASKED,AI058,2025-06-27 11:37:36.951,CONFIRMED,MASKED,32C,MASKED,MASKED,True
B1027,MASKED,UK036,2025-07-25 11:37:36.951,CONFIRMED,MASKED,22A,MASKED,MASKED,True
B1028,MASKED,SJ239,2025-05-25 11:37:36.951,CANCELLED,MASKED,26E,MASKED,MASKED,True
B1029,MASKED,6F025,2025-06-06 11:37:36.951,CANCELLED,MASKED,19C,MASKED,MASKED,True
B1030,MASKED,6F236,2026-03-18 11:37:36.951,CANCELLED,MASKED,21E,MASKED,MASKED,True
B1031,MASKED,AI060,2025-11-16 11:37:36.951,CANCELLED,MASKED,1E,MASKED,MASKED,True
B1032,MASKED,UK021,2025-09-03 11:37:36.951,CANCELLED,MASKED,18E,MASKED,MASKED,True
B1034,MASKED,SJ179,2025-12-31 11:37:36.951,CONFIRMED,MASKED,22F,MASKED,MASKED,True
B1035,MASKED,6F251,2025-08-21 11:37:36.951,PENDING,MASKED,11D,MASKED,MASKED,True
B1036,MASKED,SJ149,2025-11-24 11:37:36.951,PENDING,MASKED,5B,MASKED,MASKED,True
B1037,MASKED,AI188,2026-03-20 11:37:36.951,PENDING,MASKED,33E,MASKED,MASKED,True
B1038,MASKED,SJ093,2026-01-01 11:37:36.951,PENDING,MASKED,12D,MASKED,MASKED,True
B1039,MASKED,SJ205,2025-08-21 11:37:36.951,CONFIRMED,MASKED,11E,MASKED,MASKED,True
B1040,MASKED,6F099,2025-08-08 11:37:36.951,CONFIRMED,MASKED,26B,MASKED,MASKED,True
B1041,MASKED,UK176,2025-05-28 11:37:36.951,CONFIRMED,MASKED,25C,MASKED,MASKED,True
B1042,MASKED,UK200,2025-12-02 11:37:36.951,CANCELLED,MASKED,24F,MASKED,MASKED,True
B1043,MASKED,6F195,2025-11-22 11:37:36.951,CANCELLED,MASKED,8E,MASKED,MASKED,True
B1044,MASKED,6F174,2026-04-12 11:37:36.951,PENDING,MASKED,16C,MASKED,MASKED,True
B1046,MASKED,UK059,2025-10-14 11:37:36.951,CONFIRMED,MASKED,2C,MASKED,MASKED,True
B1047,MASKED,6F151,2025-12-29 11:37:36.951,PENDING,MASKED,7C,MASKED,MASKED,True
B1048,MASKED,SJ236,2025-09-19 11:37:36.951,PENDING,MASKED,18C,MASKED,MASKED,True
B1050,MASKED,AI220,2026-01-15 11:37:36.951,PENDING,MASKED,7D,MASKED,MASKED,True
B1051,MASKED,6F028,2025-07-05 11:37:36.951,CANCELLED,MASKED,16A,MASKED,MASKED,True
B1052,MASKED,UK209,2025-12-30 11:37:36.951,CANCELLED,MASKED,33B,MASKED,MASKED,True
B1053,MASKED,UK216,2026-04-01 11:37:36.951,PENDING,MASKED,28B,MASKED,MASKED,True
