passenger_id,first_name,last_name,age,gender,email,phone,aadhaar_id,date_of_birth
P1000,MASKED,MASKED,52,F,MASKED,MASKED,MASKED,1974
P1001,MASKED,MASKED,15,M,MASKED,MASKED,MASKED,2011
P1002,MASKED,MASKED,72,M,MASKED,MASKED,MASKED,1954
P1003,MASKED,MASKED,61,F,MASKED,MASKED,MASKED,1965
P1004,MASKED,MASKED,21,M,MASKED,MASKED,MASKED,2005
P1005,MASKED,MASKED,83,M,MASKED,MASKED,MASKED,1943
P1006,MASKED,MASKED,87,M,MASKED,MASKED,MASKED,1939
P1007,MASKED,MASKED,75,M,MASKED,MASKED,MASKED,1951
P1008,MASKED,MASKED,75,M,MASKED,MASKED,MASKED,1951
P1009,MASKED,MASKED,88,M,MASKED,MASKED,MASKED,1938
P1010,MASKED,MASKED,24,M,MASKED,MASKED,MASKED,2002
P1011,MASKED,MASKED,3,M,MASKED,MASKED,MASKED,2023
P1012,MASKED,MASKED,22,M,MASKED,MASKED,MASKED,2004
P1013,MASKED,MASKED,53,M,MASKED,MASKED,MASKED,1973
P1014,MASKED,MASKED,2,F,MASKED,MASKED,MASKED,2024
P1015,MASKED,MASKED,88,F,MASKED,MASKED,MASKED,1938
P1016,MASKED,MASKED,30,M,MASKED,MASKED,MASKED,1996
P1017,MASKED,MASKED,38,F,MASKED,MASKED,MASKED,1988
P1018,MASKED,MASKED,2,F,MASKED,MASKED,MASKED,2024
P1019,MASKED,MASKED,64,M,MASKED,MASKED,MASKED,1962
P1020,MASKED,MASKED,60,M,MASKED,MASKED,MASKED,1966
P1021,MASKED,MASKED,21,M,MASKED,MASKED,MASKED,2005
P1022,MASKED,MASKED,33,F,MASKED,MASKED,MASKED,1993
P1023,MASKED,MASKED,76,F,MASKED,MASKED,MASKED,1950
P1024,MASKED,MASKED,58,M,MASKED,MASKED,MASKED,1968
P1025,MASKED,MASKED,22,M,MASKED,MASKED,MASKED,2004
P1026,MASKED,MASKED,89,M,MASKED,MASKED,MASKED,1937
P1027,MASKED,MASKED,49,F,MASKED,MASKED,MASKED,1977
P1028,MASKED,MASKED,59,F,MASKED,MASKED,MASKED,1967
P1029,MASKED,MASKED,42,F,MASKED,MASKED,MASKED,1984
P1030,MASKED,MASKED,60,F,MASKED,MASKED,MASKED,1966
P1031,MASKED,MASKED,80,M,MASKED,MASKED,MASKED,1946
P1032,MASKED,MASKED,15,M,MASKED,MASKED,MASKED,2011
P1033,MASKED,MASKED,62,M,MASKED,MASKED,MASKED,1964
P1034,MASKED,MASKED,62,M,MASKED,MASKED,MASKED,1964
P1035,MASKED,MASKED,47,F,MASKED,MASKED,MASKED,1979
P1036,MASKED,MASKED,62,F,MASKED,MASKED,MASKED,1964
P1037,MASKED,MASKED,51,M,MASKED,MASKED,MASKED,1975
P1038,MASKED,MASKED,55,M,MASKED,MASKED,MASKED,1971
P1039,MASKED,MASKED,64,F,MASKED,MASKED,MASKED,1962
P1040,MASKED,MASKED,3,M,MASKED,MASKED,MASKED,2023
