flight_id,airline,source,destination,departure_time,arrival_time,is_overnight,duration_minutes,departure_date
SJ010,SPICEJET,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,True,174.0,2026-04-20
AI155,AIR INDIA,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,True,108.0,2026-04-20
UK094,VISTARA,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,True,105.0,2026-04-20
AI245,AIR INDIA,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,True,156.0,2026-04-20
AI192,AIR INDIA,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,True,299.0,2026-04-20
SJ158,SPICEJET,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,True,139.0,2026-04-20
6F196,INDIGO,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,True,103.0,2026-04-20
AI080,AIR INDIA,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,True,92.0,2026-04-20
6F025,INDIGO,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,False,55.0,2026-04-20
6F251,INDIGO,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,False,41.0,2026-04-20
AI137,AIR INDIA,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,True,148.0,2026-04-20
6F026,INDIGO,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,True,267.0,2026-04-20
UK167,VISTARA,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,True,181.0,2026-04-20
UK027,VISTARA,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,True,141.0,2026-04-20
AI069,AIR INDIA,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,True,226.0,2026-04-20
AI058,AIR INDIA,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,True,98.0,2026-04-20
AI140,AIR INDIA,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,True,223.0,2026-04-20
SJ239,SPICEJET,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,True,106.0,2026-04-20
6F099,INDIGO,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,False,35.0,2026-04-20
AI048,AIR INDIA,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,True,232.0,2026-04-20
SJ112,SPICEJET,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,True,140.0,2026-04-20
6F164,INDIGO,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,True,147.0,2026-04-20
UK021,VISTARA,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,False,110.0,2026-04-20
SJ172,SPICEJET,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,True,196.0,2026-04-20
AI060,AIR INDIA,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,False,113.0,2026-04-20
SJ205,SPICEJET,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,False,64.0,2026-04-20
SJ093,SPICEJET,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,False,66.0,2026-04-20
6F195,INDIGO,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,False,55.0,2026-04-20
UK003,VISTARA,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,True,278.0,2026-04-20
UK026,VISTARA,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,False,126.0,2026-04-20
6F174,INDIGO,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,False,40.0,2026-04-20
UK067,VISTARA,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,True,206.0,2026-04-20
SJ149,SPICEJET,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,False,120.0,2026-04-20
6F213,INDIGO,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,True,207.0,2026-04-20
UK200,VISTARA,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,False,111.0,2026-04-20
SJ214,SPICEJET,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,False,76.0,2026-04-20
SJ047,SPICEJET,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,False,37.0,2026-04-20
AI179,AIR INDIA,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,True,278.0,2026-04-20
