payment_id,booking_id,amount,payment_method,fk_booking_valid
PAY1008,B1508,7277.14,CARD,False
PAY1018,B1798,,CARD,True
PAY1019,B1875,,NETBANKING,True
PAY1024,B1523,,CARD,True
PAY1026,B1120,,CARD,True
PAY1033,B1012,,CARD,True
PAY1034,B1602,4028.21,NETBANKING,False
PAY1054,B1802,2072.55,UPI,False
PAY1059,B1641,14953.42,NETBANKING,False
PAY1060,B1572,,NETBANKING,True
PAY1069,B1578,,UPI,True
PAY1071,B1174,,NETBANKING,True
PAY1077,B1501,,UPI,True
PAY1080,B1283,1369.37,NETBANKING,False
PAY1104,B1404,7473.06,UPI,False
PAY1146,B1617,12237.51,CARD,False
PAY1159,B1223,1794.08,UPI,False
PAY1173,B1722,,CARD,True
PAY1178,B1614,2806.52,NETBANKING,False
PAY1184,B1019,,UPI,True
PAY1186,B1132,,UPI,True
PAY1189,B1033,9352.83,CARD,False
PAY1193,B1198,1830.32,CARD,False
PAY1207,B1159,,CARD,True
PAY1213,B1725,,NETBANKING,True
PAY1220,B1805,,CARD,True
PAY1238,B1273,5268.31,UPI,False
PAY1241,B1102,10265.07,UPI,False
PAY1244,B1844,,CARD,True
PAY1249,B1816,,NETBANKING,True
PAY1256,B1124,,CARD,True
PAY1257,B1536,6548.99,NETBANKING,False
PAY1261,B1401,10393.94,CARD,False
PAY1263,B1530,1108.98,CARD,False
PAY1269,B1660,,CARD,True
PAY1273,B1341,,NETBANKING,True
PAY1281,B1045,2330.65,NETBANKING,False
PAY1283,B1118,,NETBANKING,True
PAY1285,B1530,14300.97,NETBANKING,False
PAY1290,B1605,,CARD,True
PAY1295,B1743,4062.36,NETBANKING,False
PAY1296,B1045,4401.56,UPI,False
PAY1301,B1525,7869.06,UPI,False
PAY1311,B1930,,UPI,True
PAY1317,B1388,10389.84,NETBANKING,False
PAY1323,B1314,,NETBANKING,True
PAY1324,B1238,3231.46,UPI,False
PAY1328,B1990,,UPI,True
PAY1339,B1015,12008.1,CARD,False
PAY1344,B1389,,NETBANKING,False
PAY1361,B1702,,NETBANKING,True
PAY1387,B1997,,UPI,True
PAY1392,B1359,,CARD,True
PAY1408,B1146,,UPI,True
PAY1428,B1490,,CARD,True
PAY1432,B1102,14361.62,CARD,False
PAY1433,B1225,,CARD,True
PAY1448,B1235,,NETBANKING,True
PAY1450,B1227,,CARD,True
PAY1456,B1342,,NETBANKING,True
PAY1459,B1438,7670.85,UPI,False
PAY1460,B1178,,NETBANKING,True
PAY1471,B1860,2531.6,UPI,False
PAY1473,B1279,5467.05,UPI,False
PAY1478,B1508,2603.09,CARD,False
PAY1488,B1763,,CARD,True
PAY1515,B1860,6999.9,NETBANKING,False
PAY1534,B1010,,NETBANKING,True
PAY1543,B1607,10198.91,CARD,False
PAY1548,B1896,,CARD,True
PAY1552,B1508,4799.03,CARD,False
PAY1564,B1396,1731.44,CARD,False
PAY1568,B1932,,UPI,True
PAY1576,B1581,,UPI,True
PAY1581,B1531,,UPI,True
PAY1590,B1144,,CARD,True
PAY1591,B1568,,NETBANKING,True
PAY1595,B1268,13289.27,CARD,False
PAY1599,B1517,,CARD,False
PAY1615,B1730,,NETBANKING,True
PAY1623,B1111,,NETBANKING,True
PAY1631,B1530,13655.72,CARD,False
PAY1639,B1245,3162.91,CARD,False
PAY1643,B1395,10317.13,NETBANKING,False
PAY1644,B1521,,UPI,True
PAY1651,B1273,3873.81,CARD,False
PAY1657,B1821,,UPI,True
PAY1664,B1033,,UPI,False
PAY1675,B1654,12116.85,NETBANKING,False
PAY1677,B1756,,NETBANKING,True
PAY1683,B1045,,NETBANKING,False
PAY1689,B1983,9117.5,CARD,False
PAY1694,B1015,7601.56,CARD,False
PAY1700,B1140,,CARD,True
PAY1704,B1446,,UPI,True
PAY1705,B1289,,UPI,True
PAY1706,B1208,9105.12,NETBANKING,False
PAY1710,B1426,,CARD,True
PAY1721,B1254,,UPI,True
PAY1726,B1357,6983.72,UPI,False
PAY1727,B1607,2887.17,NETBANKING,False
PAY1734,B1388,12160.17,UPI,False
PAY1739,B1443,,UPI,True
PAY1742,B1532,,CARD,True
PAY1748,B1821,,CARD,True
PAY1756,B1699,,NETBANKING,True
PAY1757,B1056,,CARD,True
PAY1766,B1923,,UPI,True
PAY1768,B1098,10455.66,CARD,False
PAY1773,B1975,7791.01,CARD,False
PAY1778,B1576,,CARD,False
PAY1788,B1614,6159.25,UPI,False
PAY1804,B1769,1168.88,CARD,False
PAY1817,B1367,,UPI,True
PAY1832,B1173,,UPI,True
PAY1838,B1241,,NETBANKING,True
PAY1842,B1401,2700.51,UPI,False
PAY1850,B1369,,CARD,True
PAY1852,B1151,,CARD,True
PAY1855,B1999,2806.06,NETBANKING,False
PAY1861,B1769,1296.41,UPI,False
PAY1874,B1636,14700.1,NETBANKING,False
PAY1885,B1401,7755.08,CARD,False
PAY1890,B1272,,UPI,True
PAY1897,B1106,,UPI,True
PAY1902,B1483,10562.26,CARD,False
PAY1921,B1514,,UPI,True
PAY1922,B1192,,UPI,True
PAY1925,B1872,,NETBANKING,True
PAY1928,B1208,12966.45,CARD,False
PAY1930,B1033,7723.56,UPI,False
PAY1948,B1283,7236.69,CARD,False
PAY1949,B1376,,UPI,True
PAY1961,B1585,,UPI,True
PAY1981,B1324,,CARD,True
PAY1985,B1396,14467.69,CARD,False
PAY1992,B1997,,CARD,True
